Synset ID,Lemma,Gendered Word,Gender,Is Gendered Word?
oewn-10325469-n,medical man,man,M,
oewn-10371939-n,negotiatress,ess,F,
oewn-10318149-n,master,master,M,
oewn-10709764-n,tallyman,tallyman,M,
oewn-10709764-n,tallyman,man,M,
oewn-09903082-n,bronco buster,buster,M,
oewn-09903082-n,broncobuster,buster,M,
oewn-09903082-n,buster,buster,M,
oewn-10799671-n,whoremaster,master,M,
oewn-10031439-n,gumshoe,hoe,F,
oewn-10394828-n,old boy,boy,M,
oewn-10394828-n,old boy,boy,M,
oewn-10394828-n,old boy,old boy,M,
oewn-09859605-n,king,king,M,
oewn-09859605-n,king,king,M,
oewn-09859605-n,baron,baron,M,
oewn-09859605-n,baron,baron,M,
oewn-09859605-n,big businessman,businessman,M,
oewn-09859605-n,big businessman,man,M,
oewn-10020810-n,delivery boy,boy,M,
oewn-10020810-n,delivery boy,boy,M,
oewn-10020810-n,deliveryman,man,M,
oewn-11064934-n,Herman,man,M,
oewn-11064934-n,Woodrow Charles Herman,man,M,
oewn-11064934-n,Woody Herman,man,M,
oewn-10302734-n,postman,man,M,
oewn-10302734-n,mailman,man,M,
oewn-09652665-n,ticket agent,gent,M,
oewn-11404981-n,Walt Whitman,man,M,
oewn-11404981-n,Whitman,man,M,
oewn-10027908-n,deskman,man,M,
oewn-10755916-n,uncle,uncle,M,
oewn-09887362-n,boss,boss,M,
oewn-10751869-n,trustbuster,buster,M,
oewn-09669955-n,Arapaho,ho,F,
oewn-09669955-n,Arapahoe,hoe,F,
oewn-09851993-n,bag lady,lady,F,
oewn-09851993-n,bag lady,lady,F,
oewn-10178779-n,handmaid,maid,F,
oewn-10178779-n,handmaiden,maiden,F,
oewn-10678481-n,fireman,man,M,
oewn-10702297-n,sweetheart,sweetheart,F,
oewn-10103295-n,fellow,fellow,M,
oewn-10103295-n,fellow,fellow,M,
oewn-09749725-n,Viking,king,M,
oewn-09749725-n,Viking,king,M,
oewn-10074989-n,conjure man,man,M,
oewn-11320321-n,Belle Miriam Silverman,man,M,
oewn-10519442-n,queen,queen,F,
oewn-10519442-n,queen,queen,F,
oewn-10519442-n,queen,queen,F,
oewn-11371207-n,Barbara Tuchman,man,M,
oewn-11371207-n,Barbara W. Tuchman,man,M,
oewn-11371207-n,Barbara Wertheim Tuchman,man,M,
oewn-11371207-n,Tuchman,man,M,
oewn-10283108-n,lineman,man,M,
oewn-11143429-n,Le Duc Tho,ho,F,
oewn-10411115-n,pageboy,boy,M,
oewn-10411115-n,pageboy,boy,M,
oewn-10823190-n,yeoman,man,M,
oewn-10491444-n,prima donna,donna,F,
oewn-10268888-n,law agent,gent,M,
oewn-10288524-n,lobsterman,man,M,
oewn-10424852-n,past master,master,M,
oewn-10822557-n,yardman,man,M,
oewn-10822111-n,yard bird,bird,F,
oewn-10822111-n,yardbird,bird,F,
oewn-10095087-n,eyewitness,ess,F,
oewn-10169935-n,guardsman,man,M,
oewn-09856748-n,bandmaster,master,M,
oewn-10074683-n,employment agent,gent,M,
oewn-10258446-n,bachelor,bachelor,M,
oewn-10258446-n,knight bachelor,bachelor,M,
oewn-10787187-n,warehouseman,man,M,
oewn-09889236-n,burgher,burgher,M,
oewn-11027328-n,Goodman,man,M,
oewn-11027328-n,Benjamin David Goodman,man,M,
oewn-11027328-n,Benny Goodman,man,M,
oewn-10733492-n,toast mistress,mistress,F,
oewn-10733492-n,toast mistress,mistress,F,
oewn-10733492-n,toast mistress,mistress,F,
oewn-10733492-n,toast mistress,ess,F,
oewn-10446513-n,lensman,man,M,
oewn-10113244-n,sergeant first class,lass,F,
oewn-09851102-n,bad guy,guy,M,
oewn-10171603-n,gunman,man,M,
oewn-10171603-n,hit man,man,M,
oewn-10171603-n,hitman,man,M,
oewn-10171603-n,triggerman,man,M,
oewn-09712768-n,Sotho,ho,F,
oewn-11329953-n,Speer,peer,M,
oewn-11329953-n,Albert Speer,peer,M,
oewn-10191239-n,herdsman,man,M,
oewn-82074520-n,Negress,ess,F,
oewn-10111420-n,fireman,man,M,
oewn-10431296-n,packman,man,M,
oewn-10431296-n,pitchman,pitchman,M,
oewn-10431296-n,pitchman,man,M,
oewn-10772598-n,master,master,M,
oewn-09766660-n,Welshman,man,M,
oewn-10331042-n,messenger boy,boy,M,
oewn-10331042-n,messenger boy,boy,M,
oewn-10331042-n,errand boy,boy,M,
oewn-10331042-n,errand boy,boy,M,
oewn-09892023-n,brahman,man,M,
oewn-10377606-n,nightbird,bird,F,
oewn-10049154-n,dragoman,man,M,
oewn-10584088-n,penman,man,M,
oewn-10222917-n,Indian chief,chief,M,
oewn-10395389-n,old man,old man,M,
oewn-10395389-n,old man,old man,M,
oewn-10395389-n,old man,man,M,
oewn-10579534-n,schoolfellow,fellow,M,
oewn-10579534-n,schoolfellow,fellow,M,
oewn-10579534-n,class fellow,fellow,M,
oewn-10579534-n,class fellow,fellow,M,
oewn-10204302-n,hooker,hooker,F,
oewn-09736443-n,Roman,man,M,
oewn-09686910-n,red man,man,M,
oewn-09946909-n,clergyman,man,M,
oewn-09864997-n,wolf,wolf,M,
oewn-80620228-n,trophy husband,husband,M,
oewn-10290913-n,lookout man,man,M,
oewn-09736329-n,Roman,man,M,
oewn-10140190-n,nurseryman,man,M,
oewn-10162466-n,grandmaster,master,M,
oewn-11317973-n,Sherman,man,M,
oewn-11317973-n,William Tecumseh Sherman,man,M,
oewn-10774832-n,virago,virago,F,
oewn-10061595-n,early bird,bird,F,
oewn-11376387-n,John Hoyer Updike,dike,F,
oewn-11376387-n,John Updike,dike,F,
oewn-11376387-n,Updike,dike,F,
oewn-09922064-n,cavalryman,man,M,
oewn-09900475-n,burgrave,burgrave,M,
oewn-10201509-n,homegirl,girl,F,
oewn-10201509-n,homegirl,girl,F,
oewn-10201509-n,homegirl,girl,F,
oewn-10318579-n,master,master,M,
oewn-10381894-n,passive resister,sister,F,
oewn-10457465-n,plainsman,man,M,
oewn-09900112-n,burgess,ess,F,
oewn-10673118-n,steelman,man,M,
oewn-10806193-n,witness,ess,F,
oewn-10269156-n,lawman,man,M,
oewn-11020345-n,Gilman,man,M,
oewn-11020345-n,Charlotte Anna Perkins Gilman,man,M,
oewn-11020345-n,Charlotte Perkins Gilman,man,M,
oewn-10536120-n,registered nurse,nurse,F,
oewn-10467896-n,pointsman,man,M,
oewn-90009741-n,fangirl,girl,F,
oewn-90009741-n,fangirl,girl,F,
oewn-90009741-n,fangirl,girl,F,
oewn-09787015-n,theatrical agent,gent,M,
oewn-09787015-n,actor's agent,gent,M,
oewn-10329163-n,wise man,man,M,
oewn-09854273-n,ballet master,master,M,
oewn-10518571-n,quartermaster,master,M,
oewn-09893070-n,ledgeman,man,M,
oewn-10985353-n,Julius Ullman,man,M,
oewn-09881005-n,bluestocking,king,M,
oewn-09881005-n,bluestocking,king,M,
oewn-09896358-n,brother,brother,M,
oewn-10574739-n,whipping boy,boy,M,
oewn-10574739-n,whipping boy,boy,M,
oewn-10394351-n,oilman,man,M,
oewn-10188050-n,Heidelberg man,man,M,
oewn-10188050-n,Homo heidelbergensis,sis,F,
oewn-10569809-n,sandwichman,man,M,
oewn-09894491-n,bridge agent,gent,M,
oewn-11230095-n,Michel de Notredame,dame,F,
oewn-11230095-n,Michel de Notredame,dame,F,
oewn-10290325-n,lone wolf,wolf,M,
oewn-10529403-n,house agent,gent,M,
oewn-10529403-n,real estate agent,gent,M,
oewn-10529403-n,land agent,gent,M,
oewn-10529403-n,estate agent,gent,M,
oewn-10810024-n,woodman,man,M,
oewn-10810024-n,woodsman,man,M,
oewn-11042305-n,Haile Selassie,lassie,F,
oewn-10479599-n,potboy,boy,M,
oewn-10479599-n,potboy,boy,M,
oewn-10479599-n,potman,man,M,
oewn-10799573-n,whoremaster,master,M,
oewn-89433552-n,counterman,man,M,
oewn-10295742-n,lumberman,man,M,
oewn-10677940-n,stockman,man,M,
oewn-10153164-n,government agent,gent,M,
oewn-10117861-n,yes-man,man,M,
oewn-11364087-n,Tobey,bey,M,
oewn-11364087-n,Mark Tobey,bey,M,
oewn-09972962-n,henchman,man,M,
oewn-10539477-n,remittance man,man,M,
oewn-10789727-n,watchman,man,M,
oewn-10284625-n,linkboy,boy,M,
oewn-10284625-n,linkboy,boy,M,
oewn-10284625-n,linkman,man,M,
oewn-10700641-n,subsister,sister,F,
oewn-10110633-n,fingerprint man,man,M,
oewn-10092134-n,expert witness,ess,F,
oewn-10958355-n,Domingo de Guzman,man,M,
oewn-10717864-n,TV newsman,newsman,M,
oewn-10717864-n,TV newsman,man,M,
oewn-11196517-n,Merman,man,M,
oewn-11196517-n,Ethel Merman,man,M,
oewn-10199158-n,hodman,man,M,
oewn-09812410-n,anchorman,man,M,
oewn-09826498-n,high priest,priest,M,
oewn-09826498-n,archpriest,priest,M,
oewn-10179208-n,hangman,man,M,
oewn-09744816-n,Norseman,man,M,
oewn-09793105-n,hostile witness,ess,F,
oewn-09793105-n,adverse witness,ess,F,
oewn-10524678-n,railbird,bird,F,
oewn-10667676-n,backup man,man,M,
oewn-10611357-n,shop boy,boy,M,
oewn-10611357-n,shop boy,boy,M,
oewn-10257373-n,Klansman,man,M,
oewn-11281473-n,Armand Jean du Plessis,sis,F,
oewn-10524138-n,raftman,man,M,
oewn-10524138-n,raftsman,man,M,
oewn-10155473-n,no-account,count,M,
oewn-10194721-n,Highness,ess,F,
oewn-10023237-n,den mother,mother,F,
oewn-10023237-n,den mother,mother,F,
oewn-09925746-n,chambermaid,maid,F,
oewn-92465797-n,voice in the wilderness,ess,F,
oewn-09921470-n,beef man,man,M,
oewn-09921470-n,cattleman,cattleman,M,
oewn-09921470-n,cattleman,man,M,
oewn-09921470-n,cow man,man,M,
oewn-10703076-n,pigman,man,M,
oewn-10975740-n,Vagn Walfrid Ekman,man,M,
oewn-10975740-n,Ekman,man,M,
oewn-10181609-n,iceman,man,M,
oewn-10181609-n,hatchet man,man,M,
oewn-10509726-n,psycho,ho,F,
oewn-10961507-n,Douglass,lass,F,
oewn-10961507-n,Frederick Douglass,lass,F,
oewn-10545875-n,bacchant,bacchant,M,
oewn-09711521-n,Basotho,ho,F,
oewn-11332357-n,Standish,dish,F,
oewn-11332357-n,Miles Standish,dish,F,
oewn-11332357-n,Myles Standish,dish,F,
oewn-10121750-n,footman,man,M,
oewn-09853646-n,ball-buster,buster,M,
oewn-10520302-n,queen regent,gent,M,
oewn-10633512-n,smasher,masher,M,
oewn-10071491-n,embroideress,ess,F,
oewn-10314263-n,seaman,man,M,
oewn-10715051-n,tease,tease,F,
oewn-09978048-n,consignor,signor,M,
oewn-10224757-n,doughboy,boy,M,
oewn-10224757-n,doughboy,boy,M,
oewn-10718758-n,earthman,man,M,
oewn-10408139-n,master,master,M,
oewn-10422907-n,boss,boss,M,
oewn-10422907-n,party boss,boss,M,
