Synset ID,Lemma,Gendered Word,Gender,Is Gendered Word?,
oewn-10325469-n,medical man,man,M,TRUE,
oewn-10371939-n,negotiatress,ess,F,TRUE,
oewn-10318149-n,master,master,M,FALSE,
oewn-10709764-n,tallyman,tallyman,M,TRUE,
oewn-10709764-n,tallyman,man,M,TRUE,
oewn-09903082-n,bronco buster,buster,M,FALSE,
oewn-09903082-n,broncobuster,buster,M,FALSE,
oewn-09903082-n,buster,buster,M,FALSE,
oewn-10799671-n,whoremaster,master,M,FALSE,
oewn-10031439-n,gumshoe,hoe,F,FALSE,
oewn-10394828-n,old boy,boy,M,TRUE,
oewn-10394828-n,old boy,boy,M,TRUE,
oewn-10394828-n,old boy,old boy,M,TRUE,
oewn-09859605-n,king,king,M,FALSE,Not this sense
oewn-09859605-n,king,king,M,FALSE,Not this sense
oewn-09859605-n,baron,baron,M,FALSE,Not this sense
oewn-09859605-n,baron,baron,M,FALSE,Not this sense
oewn-09859605-n,big businessman,businessman,M,TRUE,
oewn-09859605-n,big businessman,man,M,TRUE,
oewn-10020810-n,delivery boy,boy,M,TRUE,
oewn-10020810-n,delivery boy,boy,M,TRUE,
oewn-10020810-n,deliveryman,man,M,TRUE,
oewn-11064934-n,Herman,man,M,FALSE,
oewn-11064934-n,Woodrow Charles Herman,man,M,FALSE,
oewn-11064934-n,Woody Herman,man,M,FALSE,
oewn-10302734-n,postman,man,M,TRUE,
oewn-10302734-n,mailman,man,M,TRUE,
oewn-09652665-n,ticket agent,gent,M,FALSE,
oewn-11404981-n,Walt Whitman,man,M,FALSE,
oewn-11404981-n,Whitman,man,M,FALSE,
oewn-10027908-n,deskman,man,M,TRUE,
oewn-10755916-n,uncle,uncle,M,TRUE,
oewn-09887362-n,boss,boss,M,FALSE,boss should not be gendered
oewn-10751869-n,trustbuster,buster,M,FALSE,
oewn-09669955-n,Arapaho,ho,F,FALSE,
oewn-09669955-n,Arapahoe,hoe,F,FALSE,
