Synset ID,Lemmas,Definition,New Definution,Man,Boy,Hypernym,Hypo Definition,Hypo Lemmas,Alt Definition,Alt Lemmas
oewn-10325469-n,"medical man, medical practitioner",someone who practices medicine,,,,,,,,
oewn-10709764-n,"tally clerk, tallyman",one who keeps a tally of quantity or weight of goods produced or shipped or received,,,,,,,,
oewn-10394828-n,old boy,a former male pupil of a school,,,,,,,,
oewn-09859605-n,"king, power, baron, big businessman, business leader, top executive, tycoon, magnate, mogul",a very wealthy or powerful businessman,,,,,,,,
oewn-10020810-n,"deliverer, delivery boy, deliveryman",someone employed to make deliveries,,,,,,,,
oewn-10302734-n,"carrier, postman, letter carrier, mail carrier, mailman",a man who delivers the mail,,,,,,,,
oewn-10027908-n,"station keeper, desk sergeant, deskman",the police sergeant on duty in a police station,,,,,,,,
oewn-10755916-n,uncle,a source of help and advice and encouragement,,,,,,,,
oewn-10678481-n,"fireman, stoker",a laborer who tends fires (as on a coal-fired train or steamship),,,,,,,,
oewn-10074989-n,"conjure man, conjurer, conjuror",a witch doctor who practices conjury,,,,,,,,
oewn-10283108-n,lineman,one of the players on the line of scrimmage,,,,,,,,
oewn-10411115-n,"pageboy, page",a boy who is employed to run errands,,,,,,,,
oewn-10823190-n,yeoman,in former times was free and cultivated his own land,,,,,,,,
oewn-10288524-n,lobsterman,a person whose occupation is catching lobsters,,,,,,,,
oewn-10822557-n,yardman,worker in a railway yard,,,,,,,,
oewn-10169935-n,guardsman,a soldier who is a member of a unit called ‘the guard’ or ‘guards’,,,,,,,,
oewn-10258446-n,"bachelor, bachelor-at-arms, knight bachelor",a knight of the lowest order; could display only a pennon,,,,,,,,
oewn-10787187-n,"warehouseman, warehouser",a workman who manages or works in a warehouse,,,,,,,,
oewn-10446513-n,"photographer, lensman",someone who takes photographs professionally,,,,,,,,
oewn-09851102-n,bad guy,any person who is not on your side,,,,,,,,
oewn-10171603-n,"gun, torpedo, shooter, gun for hire, gunman, gunslinger, hired gun, hit man, hitman, triggerman",a professional killer who uses a gun,,,,,,,,
oewn-10191239-n,"herder, herdsman, drover",someone who drives a herd,,,,,,,,
oewn-10111420-n,"fireman, fire fighter, fire-eater, firefighter",a member of a fire department who tries to extinguish fires,,,,,,,,
oewn-10431296-n,"hawker, packman, peddler, pedlar, pitchman",someone who travels about selling his wares (as on the streets or at carnivals),,,,,,,,
oewn-09766660-n,"Welsh, Cambrian, Cymry, Welshman",a native or resident of Wales,,,,,,,,
oewn-10331042-n,"messenger boy, errand boy",a boy who earns money by running errands,,,,,,,,
oewn-09892023-n,"brahman, brahmin",a member of the highest of the four Hindu varnas,,,,,,,,
oewn-10584088-n,"scribe, scribbler, penman",informal terms for journalists,,,,,,,,
oewn-10395389-n,old man,(slang) boss,,,,,,,,
oewn-09686910-n,"Injun, Redskin, red man",(slang) offensive term for Native Americans,,,,,,,,
oewn-09946909-n,"reverend, clergyman, man of the cloth",a member of the clergy and a spiritual leader of the Christian Church,,,,,,,,
oewn-80620228-n,trophy husband,a husband who is an attractive young man; seldom the first husband of an affluent older woman,,,,,,,,
oewn-10290913-n,"picket, lookout, watch, scout, sentinel, sentry, spotter, lookout man",a person employed to keep watch for some anticipated event,,,,,,,,
oewn-10140190-n,"gardener, nurseryman",someone who takes care of a garden,,,,,,,,
oewn-09922064-n,"trooper, cavalryman",a soldier in a motorized army unit,,,,,,,,
oewn-10457465-n,plainsman,an inhabitant of a plains region (especially the Great Plains of North America),,,,,,,,
oewn-10673118-n,"steelmaker, steelman, steelworker",a worker engaged in making steel,,,,,,,,
oewn-10269156-n,"peace officer, law officer, lawman",an officer of the law,,,,,,,,
oewn-10467896-n,pointsman,a policeman stationed at an intersection to direct traffic,,,,,,,,
oewn-10329163-n,"wise man, mentor",a wise and trusted guide and advisor,,,,,,,,
oewn-09893070-n,"breaker, ledgeman",a quarry worker who splits off blocks of stone,,,,,,,,
oewn-09896358-n,brother,a male person who is a fellow member (of a fraternity or religion or other group),,,,,,,,
oewn-10574739-n,"scapegoat, whipping boy",someone who is punished for the errors of others,,,,,,,,
oewn-10394351-n,oilman,a person who owns or operates oil wells,,,,,,,,
oewn-10569809-n,sandwichman,a person with advertising boards hanging from the shoulders,,,,,,,,
oewn-10810024-n,"woodman, woodsman",someone who lives in the woods,,,,,,,,
oewn-10479599-n,"potboy, potman",a worker in an inn or public house who serves customers and does various chores,,,,,,,,
oewn-89433552-n,counterman,a male who attends a counter (as in a diner),,,,,,,,
oewn-10295742-n,"lumberjack, faller, feller, logger, lumberman",a person who fells trees,,,,,,,,
oewn-10677940-n,"stock farmer, stock raiser, stockman",farmer who breed or raises livestock,,,,,,,,
oewn-10117861-n,"yes-man, stooge, flunkey, flunky",a person of unquestioning obedience,,,,,,,,
oewn-09972962-n,"henchman, partner in crime, collaborator, confederate",someone who assists in a plot,,,,,,,,
oewn-10539477-n,remittance man,an exile living on money sent from home,,,,,,,,
oewn-10789727-n,"security guard, watcher, watchman",a guard who keeps watch,,,,,,,,
oewn-10284625-n,"linkboy, linkman",(formerly) an attendant hired to carry a torch for pedestrians in dark streets,,,,,,,,
oewn-10110633-n,"fingerprint expert, fingerprint man, fingerprint specialist",a specialist in identifying fingerprints,,,,,,,,
oewn-10717864-n,"TV newsman, TV reporter, television newscaster, television reporter",someone who reports news stories via television,,,,,,,,
oewn-10199158-n,"hod carrier, hodman",a laborer who carries supplies to masons or bricklayers,,,,,,,,
oewn-09812410-n,"anchor, anchorman, anchorperson",a television reporter who coordinates a broadcast to which several correspondents contribute,,,,,,,,
oewn-10179208-n,hangman,an executioner who hangs the condemned person,,,,,,,,
oewn-09744816-n,"Norse, Norwegian, Norseman",a native or inhabitant of Norway,,,,,,,,
oewn-10667676-n,"backup, relief, substitute, stand-in, backup man, reliever, fill-in",someone who takes the place of another (as when things get dangerous or difficult),,,,,,,,
oewn-10611357-n,shop boy,a young male shop assistant,,,,,,,,
oewn-10524138-n,"rafter, raftman, raftsman",someone who travels by raft,,,,,,,,
oewn-09921470-n,"beef man, cattleman, cow man",a man who raises (or tends) cattle,,,,,,,,
oewn-10703076-n,"swineherd, pigman",a herder or swine,,,,,,,,
oewn-10181609-n,"iceman, hatchet man",a professional killer,,,,,,,,
oewn-10121750-n,footman,a man employed as a servant in a large establishment (as a palace) to run errands and do chores,,,,,,,,
oewn-10314263-n,"gob, sea dog, seafarer, seaman, old salt, Jack, Jack-tar, tar, mariner",a man who serves as a sailor,,,,,,,,
oewn-10224757-n,doughboy,an American infantryman in World War I,,,,,,,,
oewn-10718758-n,"tellurian, worldling, earthling, earthman",an inhabitant of the earth,,,,,,,,
oewn-10658757-n,"sporting man, outdoor man",someone who enjoys outdoor activities,,,,,,,,
oewn-10462389-n,"ploughman, plower, plowman",a man who plows,,,,,,,,
oewn-10611560-n,"shopkeeper, storekeeper, tradesman, market keeper",a merchant who owns or manages a shop,,,,,,,,
oewn-09633435-n,"common man, common person, commoner",a person who holds no title,,,,,,,,
oewn-09903843-n,"butcher, meatman",a retailer of meat,,,,,,,,
oewn-10156479-n,"golf player, golfer, linksman",someone who plays the game of golf,,,,,,,,
oewn-09994955-n,"crafter, craftsman",a creator of great skill in the manual arts,,,,,,,,
oewn-10201076-n,homeboy,a male friend from your neighborhood or hometown,,,,,,,,
oewn-10776505-n,visiting fireman,an important or distinguished visitor,,,,,,,,
oewn-10048793-n,"drawer, draftsman",an artist skilled at drawing,,,,,,,,
oewn-10625393-n,"skilled worker, skilled workman, trained worker",a worker who has acquired special skills,,,,,,,,
oewn-10275156-n,letterman,an athlete who has earned a letter in a school sport,,,,,,,,
oewn-10423378-n,"party liner, party man",a member of a political party who follows strictly the party line,,,,,,,,
oewn-10770579-n,vice chairman,one ranking below or serving in the place of a chairman,,,,,,,,
oewn-10195138-n,"highjacker, highwayman, hijacker, road agent",a holdup man who stops a vehicle and steals from it,,,,,,,,
oewn-09864306-n,"beadsman, bedesman",a person who is paid to pray for the soul of another,,,,,,,,
oewn-10141371-n,gasman,someone employed by a gas company,,,,,,,,
oewn-10314614-n,"sharpshooter, crack shot, marksman",someone skilled in shooting,,,,,,,,
oewn-10537787-n,"fireman, relief pitcher, reliever",a pitcher who does not start the game,,,,,,,,
oewn-09900824-n,"busboy, waiter's assistant",a restaurant attendant who sets tables and assists waiters and clears away dirty dishes,,,,,,,,
oewn-10200554-n,"stickup man, holdup man",an armed thief,,,,,,,,
oewn-10046278-n,"porter, gatekeeper, ostiary, hall porter, door guard, doorkeeper, doorman",someone who guards an entrance,,,,,,,,
oewn-10741786-n,trainbandsman,a member of a trainband,,,,,,,,
oewn-10607013-n,"sheepherder, sheepman, shepherd",a herder of sheep (on an open range); someone who keeps the sheep together in a flock,,,,,,,,
oewn-10201178-n,homeboy,a fellow male member of a youth gang,,,,,,,,
oewn-10555161-n,"rock climber, cragsman",a climber of vertical rock faces,,,,,,,,
