Synset ID,Lemmas,Definition,New Definition,Man,Boy,Hypernym,Hypo Definition,Hypo Lemmas,Alt Definition,Alt Lemmas,Generic Lemma,
oewn-10325469-n,"medical man, medical practitioner",someone who practices medicine,,FALSE,FALSE,,a man who practices medicine,medical man,a woman who practices medicine,medical woman,,
oewn-10709764-n,"tally clerk, tallyman",one who keeps a tally of quantity or weight of goods produced or shipped or received,,FALSE,FALSE,,a male tally clerk,tallyman,a female tally clerk,tallywoman,,
oewn-10394828-n,old boy,a former male pupil of a school,,TRUE,FALSE,,,,,,,
oewn-09859605-n,"king, power, baron, big businessman, business leader, top executive, tycoon, magnate, mogul",a very wealthy or powerful businessman,a very wealthy or powerful businessperson,FALSE,FALSE,,a very wealthy or powerful businessman,big businessman,a very wealthy or powerful businesswoman,big businesswoman,,
oewn-10020810-n,"deliverer, delivery boy, deliveryman",someone employed to make deliveries,,FALSE,FALSE,,a man employed to make deliveries,deliveryman,a woman employed to make deliveries,delierywoman,,
oewn-10302734-n,"carrier, postman, letter carrier, mail carrier, mailman",a man who delivers the mail,a person who delivers the mail,FALSE,FALSE,,a man who delivers the mail,"postman, mailman",a woman who delivers the mail,"postwoman, mailwoman",,
oewn-10027908-n,"station keeper, desk sergeant, deskman",the police sergeant on duty in a police station,,FALSE,FALSE,,a male desk sergeant,deskman,a female desk sergeant,deskwoman,,
oewn-10755916-n,uncle,a source of help and advice and encouragement,,TRUE,FALSE,,,,,,,
oewn-10678481-n,"fireman, stoker",a laborer who tends fires (as on a coal-fired train or steamship),,FALSE,FALSE,,a male laborer who tends fires (as on a coal-fired train or steamship),fireman,a female laborer who tends fires (as on a coal-fired train or steamship),firewoman,,
oewn-10074989-n,"conjure man, conjurer, conjuror",a witch doctor who practices conjury,,FALSE,FALSE,,a male witch doctor who practices conjury,conjure man,a female witch doctor who practices conjury,conjure woman,,
oewn-10283108-n,lineman,one of the players on the line of scrimmage,,TRUE,FALSE,,,,,,,
oewn-10411115-n,"pageboy, page",a boy who is employed to run errands,,FALSE,TRUE,,,,,,,
oewn-10823190-n,yeoman,in former times was free and cultivated his own land,,TRUE,FALSE,,,,,,,
oewn-10288524-n,lobsterman,a person whose occupation is catching lobsters,,FALSE,FALSE,,a male person whose occupation is catching lobsters,lobsterman,a female person whose occupation is catching lobsters,lobsterwoman,lobster worker,
oewn-10822557-n,yardman,worker in a railway yard,,FALSE,FALSE,,a male worker in a railway yard,yardman,a female worker in a railway yard,yardwoman,yard worker,
