06534775-n,a contract in which the contractor is paid his total cost plus a stated percentage of profit,a contract in which the contractor is paid their total cost plus a stated percentage of profit
06556832-n,a document written by someone still legally capable requesting that he should be allowed to die if subsequently severely disabled or suffering terminal illness,a document written by someone still legally capable requesting that they should be allowed to die if subsequently severely disabled or suffering terminal illness
06572930-n,(law) an answer of `no contest' by a defendant who does not admit guilt but that subjects him to conviction,(law) an answer of `no contest' by a defendant who does not admit guilt but that subjects them to conviction
06574427-n,the written statement of a plaintiff explaining the cause of action (the defamation) and any relief he seeks,the written statement of a plaintiff explaining the cause of action (the defamation) and any relief they seeks
06676530-n,a commercial principle that without a warranty the buyer takes upon himself the risk of quality,a commercial principle that without a warranty the buyer takes upon themself the risk of quality
06744259-n,(law) a contention presented by a lawyer to a judge or jury as part of the case he is arguing,(law) a contention presented by a lawyer to a judge or jury as part of the case they are arguing
06753794-n,(law) a defense by an accused person purporting to show that he or she could not have committed the crime in question,(law) a defense by an accused person purporting to show that they could not have committed the crime in question
07207321-n,a demand by a broker that a customer deposit enough to bring his margin up to the minimum requirement,a demand by a broker that a customer deposit enough to bring their margin up to the minimum requirement
07291437-n,an Interpol notice describing a wanted person and asking that he or she be arrested with a view to extradition; a wanted notice that is issued by Interpol at the request of an Interpol member country and distributed to all member countries,an Interpol notice describing a wanted person and asking that they be arrested with a view to extradition; a wanted notice that is issued by Interpol at the request of an Interpol member country and distributed to all member countries
02400336-v,help out by taking someone's place and temporarily assuming his responsibilities,help out by taking someone's place and temporarily assuming their responsibilities
02489153-v,"pull (a person) apart with four horses tied to his extremities, so as to execute him","pull (a person) apart with four horses tied to their extremities, so as to execute them"
02509282-v,"send someone back to his homeland against his will, as of refugees","send someone back to their homeland against their will, as of refugees"
02539263-v,test someone's alcohol level in his blood by means of a breathalyzer,test someone's alcohol level in their blood by means of a breathalyzer
02578724-v,cheat someone by not returning him enough money,cheat someone by not returning them enough money
02598049-v,release a criminal from detention and place him on parole,release a criminal from detention and place them on parole
02649956-v,put a convicted person on probation by suspending his sentence,put a convicted person on probation by suspending their sentence
13952369-n,a brokerage account of someone who sells short (sells securities he does not own),a brokerage account of someone who sells short (sells securities they do not own)
14486915-n,the character flaw or error of a tragic hero that leads to his downfall,the character flaw or error of a tragic hero that leads to their downfall
14497501-n,a manifestation of God's foresightful care for his creatures,a manifestation of God's foresightful care for their creatures
01938064-v,force a person or an animal into a position from which he cannot escape,force a person or an animal into a position from which they cannot escape
02089014-v,march a person against his will by any method,march a person against their will by any method
01649842-v,"compel somebody to do something, often against his own will or judgment","compel somebody to do something, often against their own will or judgment"
00070738-n,violation (either through fraud or negligence) by a trustee of a duty that equity requires of him,violation (either through fraud or negligence) by a trustee of a duty that equity requires of them
00088669-n,(Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master,(Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to their creditor); a surrender to a master
00110047-n,an illegal pitch in which a foreign substance (spit or Vaseline) is applied to the ball by the pitcher before he throws it,an illegal pitch in which a foreign substance (spit or Vaseline) is applied to the ball by the pitcher before they throws it
00134801-n,a blow that knocks the opponent off his feet,a blow that knocks the opponent off their feet
00138529-n,a free kick from the corner awarded to the other side when a player has sent the ball behind his own goal line,a free kick from the corner awarded to the other side when a player has sent the ball behind their own goal line
00140364-n,(American football) a catch of a punt on the fly by a defensive player who has signalled that he will not run and so should not be tackled,(American football) a catch of a punt on the fly by a defensive player who has signalled that they will not run and so should not be tackled
