SSID,Members,Definition,Appropriate,Unbiased,Biased,Incidental,Comment
oewn-01891713-s,covert,(of a wife) being under the protection of her husband,TRUE,FALSE,FALSE,FALSE,
oewn-02027708-s,Sapphic,a meter used by Sappho and named after her,TRUE,FALSE,FALSE,FALSE,
oewn-02604321-a,pro-choice,advocating a woman's right to control her own body (especially her right to an induced abortion),TRUE,FALSE,FALSE,FALSE,
oewn-03887322-n,Pandora's box,(Greek mythology) a box that Zeus gave to Pandora with instructions that she not open it; she gave in to her curiosity and opened it; all the miseries and evils flew out to afflict mankind,TRUE,FALSE,FALSE,FALSE,
oewn-00222931-n,uxoricide,the murder of a wife by her husband,TRUE,FALSE,FALSE,FALSE,
oewn-00224442-n,suttee,the act of a Hindu widow willingly cremating herself on the funeral pyre of her dead husband,TRUE,FALSE,FALSE,FALSE,
oewn-00656783-n,maternalism,motherly care; behavior characteristic of a mother; the practice of acting as a mother does toward her children,TRUE,FALSE,FALSE,FALSE,
oewn-00846655-n,defloration,the act of depriving a woman of her virginity (especially by rupturing the hymen through sexual intercourse),TRUE,FALSE,FALSE,FALSE,
oewn-00854775-n,"rhythm, rhythm method, rhythm method of birth control, calendar method, calendar method of birth control",natural family planning in which ovulation is assumed to occur 14 days before the onset of a period (the fertile period would be assumed to extend from day 10 through day 18 of her cycle),TRUE,FALSE,FALSE,FALSE,
oewn-09517114-n,Circe,(Greek mythology) a sorceress who detained Odysseus on her island and turned his men into swine,TRUE,FALSE,FALSE,FALSE,
oewn-09520049-n,Niobe,(Greek mythology) the daughter of Tantalus whose boasting about her children provoked Apollo and Artemis to slay them all; Niobe was turned to stone while bewailing her loss,TRUE,FALSE,FALSE,FALSE,
oewn-09520495-n,Andromeda,"(Greek mythology) an Ethiopian princess and daughter of Cassiopeia; she was fastened to a rock and exposed to a sea monster that was sent by Poseidon, but she was rescued by Perseus and became his wife",TRUE,FALSE,FALSE,FALSE,
oewn-09521044-n,Medusa,(Greek mythology) a woman transformed into a Gorgon by Athena; she was slain by Perseus,TRUE,FALSE,FALSE,FALSE,
oewn-09523349-n,Paris,(Greek mythology) the prince of Troy who abducted Helen from her husband Menelaus and provoked the Trojan War,TRUE,FALSE,FALSE,FALSE,
oewn-09531360-n,"Arianrhod, Arianrod",Celtic goddess famous for her beauty; mother of Dylan,TRUE,FALSE,FALSE,FALSE,
oewn-09572176-n,Echo,(Greek mythology) a nymph who was spurned by Narcissus and pined away until only her voice remained,TRUE,FALSE,FALSE,FALSE,
oewn-09577426-n,Hero,(Greek mythology) priestess of Aphrodite who killed herself when her lover Leander drowned while trying to swim the Hellespont to see her,TRUE,FALSE,FALSE,FALSE,
oewn-09581306-n,Dido,(Roman mythology) a princess of Tyre who was the founder and queen of Carthage; Virgil tells of her suicide when she was abandoned by Aeneas,TRUE,FALSE,FALSE,FALSE,
oewn-09586312-n,"Hera, Here",queen of the Olympian gods in ancient Greek mythology; sister and wife of Zeus remembered for her jealousy of the many mortal women Zeus fell in love with; identified with Roman Juno,TRUE,FALSE,FALSE,FALSE,
oewn-09586554-n,Io,(Greek mythology) a maiden seduced by Zeus; when Hera was about to discover them together Zeus turned her into a white heifer,TRUE,FALSE,FALSE,FALSE,
oewn-09588018-n,Ariadne,beautiful daughter of Minos and Pasiphae; she fell in love with Theseus and gave him the thread with which he found his way out of the Minotaur's labyrinth,TRUE,FALSE,FALSE,FALSE,
oewn-09598494-n,vestal virgin,(Roman mythology) one of the virgin priestesses consecrated to the Roman goddess Vesta and to maintaining the sacred fire in her temple,TRUE,FALSE,FALSE,FALSE,
